warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=10/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,15,15,15,15,15,15,15,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,37,37,37,37,37,37,37,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
0.00.704.727 W model has unused tensor blk.1.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.704.779 W model has unused tensor blk.1.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.704.784 W model has unused tensor blk.1.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.792 W model has unused tensor blk.1.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.794 W model has unused tensor blk.1.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.822 W model has unused tensor blk.2.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.704.871 W model has unused tensor blk.2.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.704.874 W model has unused tensor blk.2.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.876 W model has unused tensor blk.2.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.878 W model has unused tensor blk.2.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.933 W model has unused tensor blk.3.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.704.972 W model has unused tensor blk.3.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.704.975 W model has unused tensor blk.3.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.978 W model has unused tensor blk.3.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.704.980 W model has unused tensor blk.3.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.013 W model has unused tensor blk.4.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.068 W model has unused tensor blk.4.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.070 W model has unused tensor blk.4.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.073 W model has unused tensor blk.4.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.075 W model has unused tensor blk.4.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.104 W model has unused tensor blk.5.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.152 W model has unused tensor blk.5.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.155 W model has unused tensor blk.5.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.157 W model has unused tensor blk.5.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.159 W model has unused tensor blk.5.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.189 W model has unused tensor blk.6.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.244 W model has unused tensor blk.6.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.246 W model has unused tensor blk.6.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.248 W model has unused tensor blk.6.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.250 W model has unused tensor blk.6.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.278 W model has unused tensor blk.7.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.319 W model has unused tensor blk.7.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.321 W model has unused tensor blk.7.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.324 W model has unused tensor blk.7.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.325 W model has unused tensor blk.7.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.460 W model has unused tensor blk.9.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.512 W model has unused tensor blk.9.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.514 W model has unused tensor blk.9.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.517 W model has unused tensor blk.9.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.518 W model has unused tensor blk.9.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.548 W model has unused tensor blk.10.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.602 W model has unused tensor blk.10.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.604 W model has unused tensor blk.10.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.608 W model has unused tensor blk.10.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.609 W model has unused tensor blk.10.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.640 W model has unused tensor blk.11.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.678 W model has unused tensor blk.11.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.680 W model has unused tensor blk.11.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.683 W model has unused tensor blk.11.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.685 W model has unused tensor blk.11.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.716 W model has unused tensor blk.12.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.767 W model has unused tensor blk.12.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.769 W model has unused tensor blk.12.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.772 W model has unused tensor blk.12.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.774 W model has unused tensor blk.12.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.804 W model has unused tensor blk.13.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.854 W model has unused tensor blk.13.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.705.856 W model has unused tensor blk.13.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.859 W model has unused tensor blk.13.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.860 W model has unused tensor blk.13.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.705.890 W model has unused tensor blk.14.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.705.940 W model has unused tensor blk.14.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
