warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=10/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,29,29,29,29,33,33,33,36,36,36,36,40,40,40,40,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
0.00.668.403 W model has unused tensor blk.0.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.668.460 W model has unused tensor blk.0.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.668.463 W model has unused tensor blk.0.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.465 W model has unused tensor blk.0.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.467 W model has unused tensor blk.0.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.502 W model has unused tensor blk.1.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.668.553 W model has unused tensor blk.1.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.668.555 W model has unused tensor blk.1.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.558 W model has unused tensor blk.1.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.560 W model has unused tensor blk.1.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.591 W model has unused tensor blk.2.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.668.641 W model has unused tensor blk.2.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.668.643 W model has unused tensor blk.2.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.646 W model has unused tensor blk.2.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.648 W model has unused tensor blk.2.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.680 W model has unused tensor blk.3.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.668.724 W model has unused tensor blk.3.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.668.727 W model has unused tensor blk.3.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.730 W model has unused tensor blk.3.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.731 W model has unused tensor blk.3.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.668.761 W model has unused tensor blk.4.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.668.810 W model has unused tensor blk.4.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
