warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=10/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,30,30,32,32,32,32,32,32,38,38,38,41,41,41,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
0.00.620.483 W model has unused tensor blk.0.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.547 W model has unused tensor blk.0.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.549 W model has unused tensor blk.0.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.552 W model has unused tensor blk.0.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.553 W model has unused tensor blk.0.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.589 W model has unused tensor blk.1.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.639 W model has unused tensor blk.1.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.641 W model has unused tensor blk.1.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.644 W model has unused tensor blk.1.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.646 W model has unused tensor blk.1.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.674 W model has unused tensor blk.2.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.720 W model has unused tensor blk.2.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.722 W model has unused tensor blk.2.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.725 W model has unused tensor blk.2.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.727 W model has unused tensor blk.2.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.759 W model has unused tensor blk.3.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.799 W model has unused tensor blk.3.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.801 W model has unused tensor blk.3.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.804 W model has unused tensor blk.3.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.805 W model has unused tensor blk.3.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.834 W model has unused tensor blk.4.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.882 W model has unused tensor blk.4.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.885 W model has unused tensor blk.4.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.887 W model has unused tensor blk.4.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.889 W model has unused tensor blk.4.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.919 W model has unused tensor blk.5.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.620.966 W model has unused tensor blk.5.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.620.968 W model has unused tensor blk.5.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.971 W model has unused tensor blk.5.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.620.972 W model has unused tensor blk.5.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.000 W model has unused tensor blk.6.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.621.047 W model has unused tensor blk.6.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.621.049 W model has unused tensor blk.6.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.051 W model has unused tensor blk.6.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.053 W model has unused tensor blk.6.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.080 W model has unused tensor blk.7.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.621.114 W model has unused tensor blk.7.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.621.116 W model has unused tensor blk.7.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.119 W model has unused tensor blk.7.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.121 W model has unused tensor blk.7.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.148 W model has unused tensor blk.8.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.621.193 W model has unused tensor blk.8.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.621.195 W model has unused tensor blk.8.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.198 W model has unused tensor blk.8.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.200 W model has unused tensor blk.8.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.226 W model has unused tensor blk.9.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.621.272 W model has unused tensor blk.9.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.621.274 W model has unused tensor blk.9.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.277 W model has unused tensor blk.9.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.278 W model has unused tensor blk.9.ffn_up_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.307 W model has unused tensor blk.10.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.621.354 W model has unused tensor blk.10.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.621.356 W model has unused tensor blk.10.ffn_down_exps.weight (size = 264241152 bytes) -- ignoring
0.00.621.359 W model has unused tensor blk.10.ffn_gate_exps.weight (size = 264241152 bytes) -- ignoring
