0.00.037.047 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.853 W srv  llama_server: -----------------
0.00.038.855 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.856 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.856 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.856 W srv  llama_server: -----------------
0.00.040.850 I srv    load_model: loading model 'models/rival/Qwen3.5-35B-A3B-UD-IQ3_S.gguf'
0.05.978.701 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.998.934 I srv  llama_server: model loaded
0.05.998.937 I srv  llama_server: listening on http://127.0.0.1:8087
0.10.259.454 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.259.467 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.568.994 I slot print_timing: id  3 | task 0 | n_decoded =    141, tg =  46.51 t/s, tg_3s =  46.51 t/s
0.16.594.557 I slot print_timing: id  3 | task 0 | n_decoded =    254, tg =  41.93 t/s, tg_3s =  37.35 t/s
0.19.619.320 I slot print_timing: id  3 | task 0 | n_decoded =    369, tg =  40.63 t/s, tg_3s =  38.02 t/s
0.22.641.216 I slot print_timing: id  3 | task 0 | n_decoded =    495, tg =  40.90 t/s, tg_3s =  41.70 t/s
0.25.572.310 I slot print_timing: id  3 | task 0 | prompt eval time =     278.03 ms /    63 tokens (    4.41 ms per token,   226.60 tokens per second)
0.25.572.316 I slot print_timing: id  3 | task 0 |        eval time =   15034.78 ms /   600 tokens (   25.06 ms per token,    39.91 tokens per second)
0.25.572.317 I slot print_timing: id  3 | task 0 |       total time =   15312.80 ms /   663 tokens
0.25.572.318 I slot print_timing: id  3 | task 0 |    graphs reused =        597
0.25.572.366 I slot      release: id  3 | task 0 | stop processing: n_tokens = 662, truncated = 0
0.25.577.311 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
0.25.577.356 I slot launch_slot_: id  3 | task 602 | processing task, is_child = 0
0.25.722.965 I slot print_timing: id  3 | task 602 | prompt eval time =     121.95 ms /     9 tokens (   13.55 ms per token,    73.80 tokens per second)
0.25.722.970 I slot print_timing: id  3 | task 602 |        eval time =      23.61 ms /     2 tokens (   11.81 ms per token,    84.71 tokens per second)
0.25.722.971 I slot print_timing: id  3 | task 602 |       total time =     145.56 ms /    11 tokens
0.25.722.972 I slot print_timing: id  3 | task 602 |    graphs reused =        597
0.25.723.037 I slot      release: id  3 | task 602 | stop processing: n_tokens = 672, truncated = 0
0.25.724.808 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.25.724.831 I slot launch_slot_: id  2 | task 606 | processing task, is_child = 0
0.29.058.633 I slot print_timing: id  2 | task 606 | n_decoded =    136, tg =  45.10 t/s, tg_3s =  45.10 t/s
0.32.080.046 I slot print_timing: id  2 | task 606 | n_decoded =    265, tg =  43.90 t/s, tg_3s =  42.70 t/s
0.35.080.998 I slot print_timing: id  2 | task 606 | n_decoded =    401, tg =  44.37 t/s, tg_3s =  45.32 t/s
0.38.097.584 I slot print_timing: id  2 | task 606 | n_decoded =    501, tg =  41.56 t/s, tg_3s =  33.15 t/s
0.39.957.972 I slot print_timing: id  2 | task 606 | prompt eval time =     277.82 ms /    78 tokens (    3.56 ms per token,   280.75 tokens per second)
0.39.957.978 I slot print_timing: id  2 | task 606 |        eval time =   13914.69 ms /   600 tokens (   23.19 ms per token,    43.12 tokens per second)
0.39.957.978 I slot print_timing: id  2 | task 606 |       total time =   14192.52 ms /   678 tokens
0.39.957.979 I slot print_timing: id  2 | task 606 |    graphs reused =       1193
0.39.957.992 I slot      release: id  2 | task 606 | stop processing: n_tokens = 677, truncated = 0
0.39.959.899 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
0.39.959.915 I slot launch_slot_: id  2 | task 1208 | processing task, is_child = 0
0.40.066.196 I slot print_timing: id  2 | task 1208 | prompt eval time =      86.22 ms /     9 tokens (    9.58 ms per token,   104.38 tokens per second)
0.40.066.200 I slot print_timing: id  2 | task 1208 |        eval time =      20.04 ms /     2 tokens (   10.02 ms per token,    99.79 tokens per second)
0.40.066.200 I slot print_timing: id  2 | task 1208 |       total time =     106.26 ms /    11 tokens
0.40.066.200 I slot print_timing: id  2 | task 1208 |    graphs reused =       1193
0.40.066.228 I slot      release: id  2 | task 1208 | stop processing: n_tokens = 687, truncated = 0
0.40.067.210 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.40.067.219 I slot launch_slot_: id  1 | task 1212 | processing task, is_child = 0
0.43.402.778 I slot print_timing: id  1 | task 1212 | n_decoded =    138, tg =  45.52 t/s, tg_3s =  45.52 t/s
0.46.403.881 I slot print_timing: id  1 | task 1212 | n_decoded =    249, tg =  41.27 t/s, tg_3s =  36.99 t/s
0.49.444.419 I slot print_timing: id  1 | task 1212 | n_decoded =    402, tg =  44.31 t/s, tg_3s =  50.32 t/s
0.52.444.760 I slot print_timing: id  1 | task 1212 | n_decoded =    526, tg =  43.57 t/s, tg_3s =  41.33 t/s
0.54.317.189 I slot print_timing: id  1 | task 1212 | prompt eval time =     281.44 ms /    81 tokens (    3.47 ms per token,   287.81 tokens per second)
0.54.317.201 I slot print_timing: id  1 | task 1212 |        eval time =   13946.18 ms /   600 tokens (   23.24 ms per token,    43.02 tokens per second)
0.54.317.204 I slot print_timing: id  1 | task 1212 |       total time =   14227.62 ms /   681 tokens
0.54.317.206 I slot print_timing: id  1 | task 1212 |    graphs reused =       1789
0.54.317.267 I slot      release: id  1 | task 1212 | stop processing: n_tokens = 680, truncated = 0
0.54.322.616 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
0.54.322.661 I slot launch_slot_: id  1 | task 1814 | processing task, is_child = 0
0.54.470.831 I slot print_timing: id  1 | task 1814 | prompt eval time =     117.24 ms /     9 tokens (   13.03 ms per token,    76.77 tokens per second)
0.54.470.860 I slot print_timing: id  1 | task 1814 |        eval time =      30.86 ms /     2 tokens (   15.43 ms per token,    64.80 tokens per second)
0.54.470.862 I slot print_timing: id  1 | task 1814 |       total time =     148.10 ms /    11 tokens
0.54.470.863 I slot print_timing: id  1 | task 1814 |    graphs reused =       1789
0.54.471.218 I slot      release: id  1 | task 1814 | stop processing: n_tokens = 690, truncated = 0
0.54.474.659 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.54.474.690 I slot launch_slot_: id  0 | task 1818 | processing task, is_child = 0
0.57.828.957 I slot print_timing: id  0 | task 1818 | n_decoded =    145, tg =  48.27 t/s, tg_3s =  48.27 t/s
1.00.843.632 I slot print_timing: id  0 | task 1818 | n_decoded =    274, tg =  45.52 t/s, tg_3s =  42.79 t/s
1.03.856.804 I slot print_timing: id  0 | task 1818 | n_decoded =    428, tg =  47.39 t/s, tg_3s =  51.11 t/s
1.06.858.355 I slot print_timing: id  0 | task 1818 | n_decoded =    587, tg =  48.78 t/s, tg_3s =  52.97 t/s
1.07.097.467 I slot print_timing: id  0 | task 1818 | prompt eval time =     292.58 ms /    92 tokens (    3.18 ms per token,   314.45 tokens per second)
