warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.499.261 W common_fit_params: failed to fit params to free device memory: was unable to fit model into system memory by reducing context, abort
0.03.288.636 I 
0.03.288.791 I system_info: n_threads = 8 (n_threads_batch = 8) / 10 | MTL : EMBED_LIBRARY = 1 | CPU : NEON = 1 | ARM_FMA = 1 | FP16_VA = 1 | DOTPROD = 1 | LLAMAFILE = 1 | ACCELERATE = 1 | REPACK = 1 | 
0.03.296.814 I hellaswag_score : loaded 10042 tasks from prompt.
0.03.296.835 I ================================= is_spm = 0
0.03.296.836 I hellaswag_score : selecting 40 randomized tasks.
0.03.320.462 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	0.00000000%	[0.0000%, 65.7620%]
3	33.33333333%	[6.1492%, 79.2340%]
4	50.00000000%	[15.0039%, 84.9961%]
5	60.00000000%	[23.0724%, 88.2379%]
6	66.66666667%	[29.9993%, 90.3229%]
7	71.42857143%	[35.8934%, 91.7781%]
8	75.00000000%	[40.9275%, 92.8521%]
9	77.77777778%	[45.2589%, 93.6775%]
10	80.00000000%	[49.0162%, 94.3318%]
11	81.81818182%	[52.3019%, 94.8632%]
12	83.33333333%	[55.1969%, 95.3035%]
13	84.61538462%	[57.7654%, 95.6742%]
14	85.71428571%	[60.0586%, 95.9906%]
15	86.66666667%	[62.1180%, 96.2639%]
16	87.50000000%	[63.9772%, 96.5023%]
17	82.35294118%	[58.9705%, 93.8089%]
18	83.33333333%	[60.7780%, 94.1634%]
19	78.94736842%	[56.6657%, 91.4923%]
20	80.00000000%	[58.3983%, 91.9342%]
21	80.95238095%	[59.9994%, 92.3324%]
22	81.81818182%	[61.4834%, 92.6931%]
23	82.60869565%	[62.8624%, 93.0213%]
24	79.16666667%	[59.5295%, 90.7552%]
25	76.00000000%	[56.5703%, 88.5037%]
26	73.07692308%	[53.9170%, 86.2956%]
27	70.37037037%	[51.5193%, 84.1470%]
28	71.42857143%	[52.9407%, 84.7460%]
29	72.41379310%	[54.2829%, 85.3012%]
30	70.00000000%	[52.1242%, 83.3353%]
31	70.96774194%	[53.4077%, 83.9042%]
32	71.87500000%	[54.6255%, 84.4354%]
33	72.72727273%	[55.7824%, 84.9326%]
34	73.52941176%	[56.8829%, 85.3988%]
35	74.28571429%	[57.9307%, 85.8370%]
36	75.00000000%	[58.9295%, 86.2495%]
37	75.67567568%	[59.8827%, 86.6386%]
38	76.31578947%	[60.7932%, 87.0063%]
39	76.92307692%	[61.6637%, 87.3542%]
40	77.50000000%	[62.4969%, 87.6839%]


