warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=11/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
0,0,0,0,0,0,0,7,7,7,7,7,7,13,13,13,13,13,13,19,19,19,19,19,19,19,26,26,26,26,26,26,32,32,32,32,32,32,38,38,38,38,38,38,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
0.00.746.788 W model has unused tensor blk.1.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.746.841 W model has unused tensor blk.1.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.746.842 W model has unused tensor blk.1.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.845 W model has unused tensor blk.1.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.847 W model has unused tensor blk.1.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.877 W model has unused tensor blk.2.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.746.930 W model has unused tensor blk.2.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.746.932 W model has unused tensor blk.2.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.935 W model has unused tensor blk.2.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.937 W model has unused tensor blk.2.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.746.970 W model has unused tensor blk.3.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.012 W model has unused tensor blk.3.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.015 W model has unused tensor blk.3.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.017 W model has unused tensor blk.3.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.019 W model has unused tensor blk.3.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.047 W model has unused tensor blk.4.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.096 W model has unused tensor blk.4.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.098 W model has unused tensor blk.4.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.101 W model has unused tensor blk.4.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.103 W model has unused tensor blk.4.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.135 W model has unused tensor blk.5.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.186 W model has unused tensor blk.5.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.191 W model has unused tensor blk.5.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.194 W model has unused tensor blk.5.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.195 W model has unused tensor blk.5.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.225 W model has unused tensor blk.6.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.274 W model has unused tensor blk.6.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.278 W model has unused tensor blk.6.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.281 W model has unused tensor blk.6.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.282 W model has unused tensor blk.6.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.402 W model has unused tensor blk.8.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.451 W model has unused tensor blk.8.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.453 W model has unused tensor blk.8.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.456 W model has unused tensor blk.8.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.457 W model has unused tensor blk.8.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.485 W model has unused tensor blk.9.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.535 W model has unused tensor blk.9.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.537 W model has unused tensor blk.9.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.540 W model has unused tensor blk.9.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.542 W model has unused tensor blk.9.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.572 W model has unused tensor blk.10.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.623 W model has unused tensor blk.10.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.625 W model has unused tensor blk.10.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.629 W model has unused tensor blk.10.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.631 W model has unused tensor blk.10.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.663 W model has unused tensor blk.11.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.701 W model has unused tensor blk.11.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.704 W model has unused tensor blk.11.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.707 W model has unused tensor blk.11.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.708 W model has unused tensor blk.11.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.738 W model has unused tensor blk.12.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.787 W model has unused tensor blk.12.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.789 W model has unused tensor blk.12.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.792 W model has unused tensor blk.12.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.794 W model has unused tensor blk.12.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.930 W model has unused tensor blk.14.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.747.986 W model has unused tensor blk.14.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.747.992 W model has unused tensor blk.14.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.995 W model has unused tensor blk.14.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.747.997 W model has unused tensor blk.14.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.031 W model has unused tensor blk.15.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.074 W model has unused tensor blk.15.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.076 W model has unused tensor blk.15.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.079 W model has unused tensor blk.15.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.081 W model has unused tensor blk.15.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.111 W model has unused tensor blk.16.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.161 W model has unused tensor blk.16.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.164 W model has unused tensor blk.16.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.167 W model has unused tensor blk.16.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.169 W model has unused tensor blk.16.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.199 W model has unused tensor blk.17.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.256 W model has unused tensor blk.17.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.259 W model has unused tensor blk.17.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.262 W model has unused tensor blk.17.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.263 W model has unused tensor blk.17.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.293 W model has unused tensor blk.18.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.347 W model has unused tensor blk.18.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.349 W model has unused tensor blk.18.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.353 W model has unused tensor blk.18.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.354 W model has unused tensor blk.18.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.480 W model has unused tensor blk.20.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.533 W model has unused tensor blk.20.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.536 W model has unused tensor blk.20.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.539 W model has unused tensor blk.20.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.540 W model has unused tensor blk.20.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.570 W model has unused tensor blk.21.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.624 W model has unused tensor blk.21.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.626 W model has unused tensor blk.21.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.629 W model has unused tensor blk.21.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.631 W model has unused tensor blk.21.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.661 W model has unused tensor blk.22.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.716 W model has unused tensor blk.22.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.718 W model has unused tensor blk.22.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.721 W model has unused tensor blk.22.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.723 W model has unused tensor blk.22.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.753 W model has unused tensor blk.23.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.794 W model has unused tensor blk.23.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.797 W model has unused tensor blk.23.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.800 W model has unused tensor blk.23.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.802 W model has unused tensor blk.23.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.829 W model has unused tensor blk.24.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.877 W model has unused tensor blk.24.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.879 W model has unused tensor blk.24.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.882 W model has unused tensor blk.24.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.884 W model has unused tensor blk.24.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.912 W model has unused tensor blk.25.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.748.960 W model has unused tensor blk.25.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.748.962 W model has unused tensor blk.25.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.965 W model has unused tensor blk.25.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.748.967 W model has unused tensor blk.25.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.097 W model has unused tensor blk.27.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.137 W model has unused tensor blk.27.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.139 W model has unused tensor blk.27.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.142 W model has unused tensor blk.27.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.144 W model has unused tensor blk.27.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.176 W model has unused tensor blk.28.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.224 W model has unused tensor blk.28.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.227 W model has unused tensor blk.28.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.229 W model has unused tensor blk.28.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.231 W model has unused tensor blk.28.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.260 W model has unused tensor blk.29.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.310 W model has unused tensor blk.29.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.312 W model has unused tensor blk.29.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.315 W model has unused tensor blk.29.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.317 W model has unused tensor blk.29.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.346 W model has unused tensor blk.30.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.396 W model has unused tensor blk.30.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.398 W model has unused tensor blk.30.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.401 W model has unused tensor blk.30.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.402 W model has unused tensor blk.30.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.445 W model has unused tensor blk.31.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.484 W model has unused tensor blk.31.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.486 W model has unused tensor blk.31.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.488 W model has unused tensor blk.31.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.490 W model has unused tensor blk.31.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.618 W model has unused tensor blk.33.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.668 W model has unused tensor blk.33.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.671 W model has unused tensor blk.33.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.674 W model has unused tensor blk.33.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.676 W model has unused tensor blk.33.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.704 W model has unused tensor blk.34.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.755 W model has unused tensor blk.34.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.757 W model has unused tensor blk.34.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.760 W model has unused tensor blk.34.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.762 W model has unused tensor blk.34.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.792 W model has unused tensor blk.35.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.828 W model has unused tensor blk.35.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.831 W model has unused tensor blk.35.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.834 W model has unused tensor blk.35.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.835 W model has unused tensor blk.35.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.863 W model has unused tensor blk.36.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.914 W model has unused tensor blk.36.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.749.916 W model has unused tensor blk.36.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.919 W model has unused tensor blk.36.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.921 W model has unused tensor blk.36.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.749.950 W model has unused tensor blk.37.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.749.999 W model has unused tensor blk.37.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.750.001 W model has unused tensor blk.37.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.004 W model has unused tensor blk.37.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.006 W model has unused tensor blk.37.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.147 W model has unused tensor blk.39.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.750.186 W model has unused tensor blk.39.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.750.189 W model has unused tensor blk.39.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.192 W model has unused tensor blk.39.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.193 W model has unused tensor blk.39.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.227 W model has unused tensor blk.40.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.750.277 W model has unused tensor blk.40.ffn_gate_inp.weight (size = 3145728 bytes) -- ignoring
0.00.750.279 W model has unused tensor blk.40.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.282 W model has unused tensor blk.40.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.750.284 W model has unused tensor blk.40.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
