warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.937.805 I 
0.00.937.843 I system_info: n_threads = 8 (n_threads_batch = 8) / 10 | MTL : EMBED_LIBRARY = 1 | CPU : NEON = 1 | ARM_FMA = 1 | FP16_VA = 1 | DOTPROD = 1 | LLAMAFILE = 1 | ACCELERATE = 1 | REPACK = 1 | 
0.00.943.167 I hellaswag_score : loaded 10042 tasks from prompt.
0.00.943.175 I ================================= is_spm = 0
0.00.943.177 I hellaswag_score : selecting 400 randomized tasks.
0.01.093.643 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	50.00000000%	[9.4531%, 90.5469%]
3	66.66666667%	[20.7660%, 93.8508%]
4	75.00000000%	[30.0642%, 95.4413%]
5	80.00000000%	[37.5535%, 96.3776%]
6	83.33333333%	[43.6497%, 96.9947%]
7	85.71428571%	[48.6872%, 97.4320%]
8	87.50000000%	[52.9112%, 97.7583%]
9	88.88888889%	[56.5000%, 98.0109%]
10	90.00000000%	[59.5850%, 98.2124%]
11	90.90909091%	[62.2642%, 98.3768%]
12	83.33333333%	[55.1969%, 95.3035%]
13	84.61538462%	[57.7654%, 95.6742%]
14	85.71428571%	[60.0586%, 95.9906%]
15	86.66666667%	[62.1180%, 96.2639%]
16	87.50000000%	[63.9772%, 96.5023%]
17	82.35294118%	[58.9705%, 93.8089%]
18	83.33333333%	[60.7780%, 94.1634%]
19	78.94736842%	[56.6657%, 91.4923%]
20	80.00000000%	[58.3983%, 91.9342%]
21	80.95238095%	[59.9994%, 92.3324%]
22	81.81818182%	[61.4834%, 92.6931%]
23	82.60869565%	[62.8624%, 93.0213%]
24	79.16666667%	[59.5295%, 90.7552%]
25	76.00000000%	[56.5703%, 88.5037%]
26	73.07692308%	[53.9170%, 86.2956%]
27	70.37037037%	[51.5193%, 84.1470%]
28	71.42857143%	[52.9407%, 84.7460%]
29	72.41379310%	[54.2829%, 85.3012%]
30	73.33333333%	[55.5520%, 85.8173%]
31	74.19354839%	[56.7539%, 86.2983%]
32	71.87500000%	[54.6255%, 84.4354%]
33	72.72727273%	[55.7824%, 84.9326%]
34	73.52941176%	[56.8829%, 85.3988%]
35	74.28571429%	[57.9307%, 85.8370%]
36	75.00000000%	[58.9295%, 86.2495%]
37	75.67567568%	[59.8827%, 86.6386%]
38	76.31578947%	[60.7932%, 87.0063%]
39	74.35897436%	[58.9183%, 85.4312%]
40	72.50000000%	[57.1650%, 83.8920%]
41	73.17073171%	[58.0665%, 84.3050%]
42	71.42857143%	[56.4328%, 82.8330%]
43	72.09302326%	[57.3090%, 83.2534%]
44	72.72727273%	[58.1511%, 83.6536%]
45	71.11111111%	[56.6315%, 82.2699%]
46	71.73913043%	[57.4514%, 82.6758%]
47	72.34042553%	[58.2414%, 83.0634%]
48	72.91666667%	[59.0030%, 83.4340%]
49	73.46938776%	[59.7377%, 83.7887%]
50	72.00000000%	[58.3349%, 82.5258%]
51	72.54901961%	[59.0533%, 82.8857%]
52	71.15384615%	[57.7272%, 81.6700%]
53	69.81132075%	[56.4632%, 80.4817%]
54	68.51851852%	[55.2566%, 79.3207%]
55	67.27272727%	[54.1032%, 78.1869%]
56	66.07142857%	[52.9995%, 77.0800%]
57	66.66666667%	[53.7225%, 77.5062%]
58	67.24137931%	[54.4241%, 77.9167%]
59	67.79661017%	[55.1050%, 78.3124%]
60	68.33333333%	[55.7662%, 78.6941%]
61	68.85245902%	[56.4086%, 79.0626%]
62	67.74193548%	[55.3681%, 78.0455%]
63	68.25396825%	[55.9965%, 78.4133%]
64	68.75000000%	[56.6077%, 78.7689%]
65	67.69230769%	[55.6140%, 77.7961%]
66	66.66666667%	[54.6563%, 76.8436%]
67	67.16417910%	[55.2582%, 77.2087%]
68	67.64705882%	[55.8445%, 77.5624%]
69	68.11594203%	[56.4159%, 77.9052%]
70	68.57142857%	[56.9729%, 78.2377%]
71	67.60563380%	[56.0612%, 77.3428%]
72	68.05555556%	[56.6077%, 77.6744%]
73	68.49315068%	[57.1409%, 77.9964%]
74	68.91891892%	[57.6614%, 78.3092%]
75	68.00000000%	[56.7889%, 77.4570%]
76	68.42105263%	[57.3004%, 77.7691%]
77	68.83116883%	[57.8000%, 78.0727%]
78	69.23076923%	[58.2882%, 78.3681%]
79	69.62025316%	[58.7653%, 78.6555%]
80	70.00000000%	[59.2318%, 78.9354%]
81	70.37037037%	[59.6880%, 79.2080%]
82	70.73170732%	[60.1342%, 79.4737%]
83	71.08433735%	[60.5708%, 79.7326%]
84	71.42857143%	[60.9980%, 79.9850%]
85	71.76470588%	[61.4161%, 80.2311%]
86	72.09302326%	[61.8254%, 80.4713%]
87	72.41379310%	[62.2262%, 80.7057%]
88	72.72727273%	[62.6188%, 80.9345%]
89	71.91011236%	[61.8166%, 80.1905%]
90	72.22222222%	[62.2048%, 80.4203%]
91	72.52747253%	[62.5852%, 80.6448%]
92	72.82608696%	[62.9581%, 80.8642%]
93	73.11827957%	[63.3238%, 81.0787%]
94	73.40425532%	[63.6823%, 81.2884%]
95	73.68421053%	[64.0340%, 81.4935%]
96	73.95833333%	[64.3789%, 81.6941%]
97	74.22680412%	[64.7174%, 81.8904%]
98	74.48979592%	[65.0495%, 82.0825%]
99	74.74747475%	[65.3755%, 82.2706%]
100	74.00000000%	[64.6290%, 81.5953%]
101	74.25742574%	[64.9525%, 81.7848%]
102	73.52941176%	[64.2273%, 81.1236%]
103	72.81553398%	[63.5191%, 80.4713%]
104	73.07692308%	[63.8430%, 80.6667%]
105	73.33333333%	[64.1613%, 80.8583%]
106	73.58490566%	[64.4740%, 81.0461%]
107	73.83177570%	[64.7814%, 81.2303%]
108	74.07407407%	[65.0835%, 81.4109%]
109	73.39449541%	[64.4060%, 80.7901%]
110	73.63636364%	[64.7059%, 80.9717%]
111	73.87387387%	[65.0008%, 81.1498%]
112	74.10714286%	[65.2908%, 81.3246%]
113	74.33628319%	[65.5761%, 81.4962%]
114	74.56140351%	[65.8568%, 81.6647%]
115	74.78260870%	[66.1330%, 81.8301%]
116	74.13793103%	[65.4865%, 81.2419%]
117	74.35897436%	[65.7609%, 81.4083%]
118	74.57627119%	[66.0311%, 81.5718%]
119	74.78991597%	[66.2970%, 81.7324%]
120	75.00000000%	[66.5589%, 81.8902%]
121	74.38016529%	[65.9358%, 81.3241%]
122	74.59016393%	[66.1962%, 81.4828%]
123	74.79674797%	[66.4526%, 81.6389%]
124	74.19354839%	[65.8467%, 81.0864%]
125	74.40000000%	[66.1017%, 81.2433%]
126	74.60317460%	[66.3529%, 81.3976%]
127	74.80314961%	[66.6005%, 81.5494%]
128	74.21875000%	[66.0131%, 81.0131%]
129	74.41860465%	[66.2593%, 81.1657%]
130	73.84615385%	[65.6850%, 80.6385%]
131	74.04580153%	[65.9298%, 80.7917%]
132	73.48484848%	[65.3681%, 80.2733%]
133	73.68421053%	[65.6115%, 80.4272%]
134	73.88059701%	[65.8515%, 80.5786%]
135	74.07407407%	[66.0883%, 80.7277%]
136	74.26470588%	[66.3218%, 80.8745%]
137	74.45255474%	[66.5521%, 81.0191%]
138	74.63768116%	[66.7793%, 81.1616%]
139	74.82014388%	[67.0034%, 81.3019%]
140	75.00000000%	[67.2246%, 81.4401%]
141	75.17730496%	[67.4429%, 81.5763%]
142	75.35211268%	[67.6582%, 81.7105%]
143	75.52447552%	[67.8708%, 81.8427%]
144	75.69444444%	[68.0806%, 81.9731%]
145	75.86206897%	[68.2876%, 82.1015%]
146	76.02739726%	[68.4921%, 82.2282%]
147	76.19047619%	[68.6939%, 82.3531%]
148	76.35135135%	[68.8932%, 82.4762%]
149	76.51006711%	[69.0899%, 82.5976%]
150	76.66666667%	[69.2842%, 82.7174%]
151	76.15894040%	[68.7670%, 82.2529%]
152	75.65789474%	[68.2581%, 81.7928%]
153	75.81699346%	[68.4536%, 81.9157%]
154	75.97402597%	[68.6468%, 82.0370%]
155	76.12903226%	[68.8376%, 82.1566%]
156	76.28205128%	[69.0262%, 82.2747%]
157	75.79617834%	[68.5321%, 81.8280%]
158	75.94936709%	[68.7201%, 81.9468%]
159	76.10062893%	[68.9059%, 82.0640%]
160	76.25000000%	[69.0894%, 82.1796%]
161	76.39751553%	[69.2709%, 82.2938%]
162	76.54320988%	[69.4502%, 82.4066%]
163	76.68711656%	[69.6274%, 82.5179%]
164	76.82926829%	[69.8026%, 82.6278%]
165	76.96969697%	[69.9759%, 82.7363%]
166	77.10843373%	[70.1471%, 82.8435%]
167	77.24550898%	[70.3164%, 82.9493%]
168	77.38095238%	[70.4838%, 83.0539%]
169	76.92307692%	[70.0151%, 82.6343%]
170	77.05882353%	[70.1822%, 82.7396%]
171	77.19298246%	[70.3475%, 82.8436%]
172	76.74418605%	[69.8885%, 82.4314%]
173	76.87861272%	[70.0534%, 82.5360%]
174	76.43678161%	[69.6023%, 82.1292%]
175	76.57142857%	[69.7669%, 82.2344%]
176	76.13636364%	[69.3234%, 81.8328%]
177	76.27118644%	[69.4877%, 81.9386%]
178	76.40449438%	[69.6502%, 82.0431%]
179	75.97765363%	[69.2154%, 81.6483%]
180	76.11111111%	[69.3776%, 81.7534%]
181	75.69060773%	[68.9499%, 81.3635%]
182	75.82417582%	[69.1117%, 81.4691%]
183	75.95628415%	[69.2718%, 81.5735%]
184	76.08695652%	[69.4302%, 81.6767%]
185	76.21621622%	[69.5871%, 81.7787%]
186	75.80645161%	[69.1700%, 81.3985%]
187	75.93582888%	[69.3265%, 81.5011%]
188	76.06382979%	[69.4814%, 81.6024%]
189	75.66137566%	[69.0720%, 81.2284%]
190	75.78947368%	[69.2266%, 81.3302%]
191	75.91623037%	[69.3796%, 81.4309%]
