t_s,rss_mb,wired_mb,compressed_mb,free_mb,swap_used_mb,pageins,swapins
0,0,1682,1455,5376,1006,284561619,167982
1,126,1686,1452,5134,1006,284568108,167982
2,763,1690,1451,4496,1006,284588477,167982
3,1644,1669,1451,3614,1006,284616789,167982
5,2537,1671,1451,2718,1006,284645487,167982
6,3411,1661,1449,1842,1006,284673583,167982
7,4296,1671,1449,961,1006,284701998,167982
8,5229,1643,1444,59,1006,284732014,167982
9,6005,1655,1432,56,1006,284756917,167982
10,6816,1656,1430,59,1006,284782955,167982
11,7532,1659,1430,54,1006,284818868,167982
12,8635,1671,1430,64,1006,284888286,167982
13,9772,1665,1430,61,1006,284961514,167982
14,10315,1691,1461,60,1006,285031917,167982
15,9856,1683,1939,62,1006,285098752,167982
16,9574,1669,2485,59,1006,285154238,167982
17,7964,1670,4218,55,1006,285198848,167982
18,7842,1679,4531,61,1006,285251041,167982
19,8061,1681,4260,61,1006,285299955,167982
20,8616,1680,3725,56,1006,285349725,167982
21,9954,1678,2328,59,1006,285378390,167982
22,10516,1678,1698,53,1006,285416262,167982
23,10491,1679,1689,63,1006,285455436,167982
24,10524,1678,1727,61,1006,285498654,167982
25,10392,1668,1851,60,1006,285538833,167982
26,10435,1678,1870,60,1006,285578651,167982
27,10429,1667,1898,59,1006,285614511,167982
28,10452,1677,1890,60,1006,285651052,167982
30,10524,1676,1921,60,1006,285684267,167982
31,10470,1673,1908,63,1006,285719863,167982
32,10448,1679,1883,61,1006,285755286,167982
33,10376,1697,1814,61,1006,285785676,167982
34,10461,1669,1847,63,1006,285823577,167982
35,10476,1669,1845,59,1006,285859108,167982
36,10273,1671,2111,59,1006,285898739,167982
37,10424,1689,1874,58,1006,285926109,167982
38,10432,1679,1890,62,1006,285962873,167982
