step,tokens,train_loss,val_loss,tok_s,elapsed_s
500,16384000,2.5896,2.6149,22149,740
1000,32768000,1.9681,2.0428,22102,1483
1500,49152000,1.8377,1.8734,22047,2229
2000,65536000,1.7304,1.7783,22048,2972
2500,81920000,1.6701,1.7121,22076,3711
3000,98304000,1.6888,1.6588,22044,4459
3500,114688000,1.5610,1.6172,22048,5202
4000,131072000,1.5752,1.5823,22067,5940
4500,147456000,1.4882,1.5530,22081,6678
5000,163840000,1.4886,1.5309,22048,7431
5500,180224000,1.4827,1.5149,22062,8169
6000,196608000,1.4185,1.5051,22073,8907
6103,199983104,1.4915,1.5038,21989,9095
