step,tokens,train_loss,val_loss,tok_s,elapsed_s
500,16384000,2.6553,2.6749,21442,764
1000,32768000,2.0227,2.0993,21550,1521
1500,49152000,1.8823,1.9204,21591,2277
2000,65536000,1.7888,1.8251,21598,3034
2500,81920000,1.7200,1.7577,21600,3793
3000,98304000,1.7388,1.7070,21670,4536
3500,114688000,1.6150,1.6663,21720,5280
4000,131072000,1.6302,1.6321,21578,6074
4500,147456000,1.5427,1.6056,21635,6816
5000,163840000,1.5458,1.5832,21677,7558
5500,180224000,1.5452,1.5686,21716,8299
6000,196608000,1.4760,1.5587,21751,9039
6103,199983104,1.5506,1.5577,21673,9227
