step,tokens,train_loss,val_loss,tok_s,elapsed_s
500,16384000,2.6485,2.6741,41450,395
1000,32768000,2.0542,2.1303,41274,794
1500,49152000,1.9272,1.9562,41120,1195
2000,65536000,1.8242,1.8640,40909,1602
2500,81920000,1.7631,1.7972,40808,2007
3000,98304000,1.7817,1.7458,40605,2421
3500,114688000,1.6584,1.7055,40588,2826
4000,131072000,1.6729,1.6714,40584,3230
4500,147456000,1.5783,1.6425,40616,3631
5000,163840000,1.5783,1.6204,40601,4035
5500,180224000,1.5763,1.6054,40618,4437
6000,196608000,1.5164,1.5959,40640,4838
6103,199983104,1.5814,1.5950,40487,4939
